match_id,date,gender,tournament,round,player_1,player_2,match_score,winner,loser,p1_fsp,p1_ssp,p1_df,p2_fsp,p2_ssp,p2_df
19920704-W-Wimbledon-F-Steffi_Graf-Monica_Seles,19920704,W,Wimbledon,F,Steffi Graf,Monica Seles,6-2 6-1,Steffi Graf,Monica Seles,77.0,100.0,0,55.0,93.0,2
19920822-M-Indianapolis-SF-Pete_Sampras-Boris_Becker,19920822,M,Indianapolis,SF,Pete Sampras,Boris Becker,6-7 6-2 7-6,Pete Sampras,Boris Becker,60.0,92.0,3,65.0,82.0,6
19920823-M-Indianapolis-F-Jim_Courier-Pete_Sampras,19920823,M,Indianapolis,F,Jim Courier,Pete Sampras,4-6 4-6,Pete Sampras,Jim Courier,63.0,92.0,2,61.0,92.0,2
19920905-M-US_Open-R32-Pete_Sampras-Todd_Martin,19920905,M,US Open,R32,Pete Sampras,Todd Martin,7-6 2-6 4-6 7-5 6-4,Pete Sampras,Todd Martin,63.0,92.0,5,67.0,92.0,4
19920913-M-US_Open-F-Pete_Sampras-Stefan_Edberg,19920913,M,US Open,F,Pete Sampras,Stefan Edberg,6-3 4-6 6-7 2-6,Stefan Edberg,Pete Sampras,56.0,85.0,9,63.0,93.0,3
19921118-M-Tour_Finals-RR-Pete_Sampras-Stefan_Edberg,19921118,M,Tour Finals,RR,Pete Sampras,Stefan Edberg,6-3 3-6 7-5,Pete Sampras,Stefan Edberg,67.0,96.0,1,52.0,90.0,5
19930207-M-San_Francisco-F-Andre_Agassi-Brad_Gilbert,19930207,M,San Francisco,F,Andre Agassi,Brad Gilbert,6-2 6-7 6-2,Andre Agassi,Brad Gilbert,85.0,83.0,2,54.0,88.0,6
19930702-W-Wimbledon-SF-Martina_Navratilova-Jana_Novotna,19930702,W,Wimbledon,SF,Martina Navratilova,Jana Novotna,4-6 4-6,Jana Novotna,Martina Navratilova,74.0,91.0,2,53.0,89.0,3
19930909-M-US_Open-QF-Michael_Chang-Pete_Sampras,19930909,M,US Open,QF,Michael Chang,Pete Sampras,7-6 6-7 1-6 1-6,Pete Sampras,Michael Chang,73.0,97.0,1,50.0,88.0,7
19930912-M-US_Open-F-Cedric_Pioline-Pete_Sampras,19930912,M,US Open,F,Cedric Pioline,Pete Sampras,4-6 4-6 3-6,Pete Sampras,Cedric Pioline,49.0,85.0,8,49.0,89.0,4
19940108-M-Doha-F-Stefan_Edberg-Paul_Haarhuis,19940108,M,Doha,F,Stefan Edberg,Paul Haarhuis,6-3 6-2,Stefan Edberg,Paul Haarhuis,69.0,82.0,3,60.0,92.0,2
19940124-M-Australian_Open-R16-Pete_Sampras-Ivan_Lendl,19940124,M,Australian Open,R16,Pete Sampras,Ivan Lendl,7-6 6-2 7-6,Pete Sampras,Ivan Lendl,69.0,97.0,1,62.0,94.0,2
19940213-M-Memphis-F-Todd_Martin-Brad_Gilbert,19940213,M,Memphis,F,Todd Martin,Brad Gilbert,6-4 7-5,Todd Martin,Brad Gilbert,66.0,100.0,0,59.0,82.0,5
19940424-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Andrei_Medvedev,19940424,M,Monte Carlo Masters,F,Sergi Bruguera,Andrei Medvedev,5-7 1-6 3-6,Andrei Medvedev,Sergi Bruguera,67.0,86.0,4,76.0,95.0,1
19940508-M-Hamburg_Masters-F-Yevgeny_Kafelnikov-Andrei_Medvedev,19940508,M,Hamburg Masters,F,Yevgeny Kafelnikov,Andrei Medvedev,4-6 4-6 6-3 3-6,Andrei Medvedev,Yevgeny Kafelnikov,55.0,94.0,3,73.0,88.0,4
19940517-M-Dusseldorf-RR-Stefan_Edberg-Sergi_Bruguera,19940517,M,Dusseldorf,RR,Stefan Edberg,Sergi Bruguera,6-7 7-5 3-6,Sergi Bruguera,Stefan Edberg,61.0,95.0,2,69.0,100.0,0
19940605-W-Roland_Garros-F-Mary_Pierce-Arantxa_Sanchez_Vicario,19940605,W,Roland Garros,F,Mary Pierce,Arantxa Sanchez Vicario,6-3 6-4,Mary Pierce,Arantxa Sanchez Vicario,80.0,92.0,1,68.0,85.0,4
19940623-M-Wimbledon-R64-Stefan_Edberg-Kenneth_Carlsen,19940623,M,Wimbledon,R64,Stefan Edberg,Kenneth Carlsen,7-6 7-6 2-6 4-6 4-6,Kenneth Carlsen,Stefan Edberg,58.0,93.0,5,64.0,88.0,8
19940629-M-Wimbledon-QF-Goran_Ivanisevic-Guy_Forget,19940629,M,Wimbledon,QF,Goran Ivanisevic,Guy Forget,7-6 7-6 6-4,Goran Ivanisevic,Guy Forget,53.0,83.0,9,64.0,95.0,2
19940728-M-Canada_Masters-R32-Jakob_Hlasek-Andre_Agassi,19940728,M,Canada Masters,R32,Jakob Hlasek,Andre Agassi,1-6 1-6,Andre Agassi,Jakob Hlasek,60.0,84.0,3,80.0,89.0,1
19940813-M-Cincinnati_Masters-SF-Michael_Chang-David_Wheaton,19940813,M,Cincinnati Masters,SF,Michael Chang,David Wheaton,6-3 6-4,Michael Chang,David Wheaton,53.0,90.0,3,63.0,87.0,3
19940820-M-New_Haven-SF-Michael_Stich-Boris_Becker,19940820,M,New Haven,SF,Michael Stich,Boris Becker,2-6 5-7,Boris Becker,Michael Stich,60.0,95.0,1,60.0,88.0,3
19941116-M-Tour_Finals-RR-Michael_Chang-Andre_Agassi,19941116,M,Tour Finals,RR,Michael Chang,Andre Agassi,4-6 4-6,Andre Agassi,Michael Chang,64.0,96.0,1,70.0,95.0,1
19941116-M-Tour_Finals-RR-Pete_Sampras-Stefan_Edberg,19941116,M,Tour Finals,RR,Pete Sampras,Stefan Edberg,4-6 6-3 7-6,Pete Sampras,Stefan Edberg,55.0,93.0,3,60.0,95.0,2
19950115-W-Sydney-F-Lindsay_Davenport-Gabriela_Sabatini,19950115,W,Sydney,F,Lindsay Davenport,Gabriela Sabatini,3-6 4-6,Gabriela Sabatini,Lindsay Davenport,69.0,86.0,3,59.0,87.0,3
19950127-M-Australian_Open-SF-Michael_Chang-Pete_Sampras,19950127,M,Australian Open,SF,Michael Chang,Pete Sampras,7-6 3-6 4-6 4-6,Pete Sampras,Michael Chang,46.0,97.0,2,50.0,94.0,4
19950129-M-Australian_Open-F-Pete_Sampras-Andre_Agassi,19950129,M,Australian Open,F,Pete Sampras,Andre Agassi,6-4 1-6 6-7 4-6,Andre Agassi,Pete Sampras,51.0,91.0,6,69.0,89.0,4
