h2h_win_ratio_diff,h2h_recent_momentum,recent_form_diff,win_rate_diff,serve_rating_diff,bp_conv_pctg_diff,dom_ratio_diff,fatigue_diff,match_volume_14d_diff,win_rate_hard_diff,target,match_id,date,player_id,opponent_id,win_rate_clay_diff,win_rate_grass_diff
0.0,0.0,0.06666666666666665,-0.013636363636363669,0.00691577540106969,0.0547263681592039,0.12703208556149725,-0.3,-3.0,,0.0,542,2025-04-23,8,10,0.06666666666666665,
0.0,0.0,0.6666666666666666,0.08636363636363631,-0.02468363636363624,-0.019347705914870172,0.019590909090909436,-0.1,-1.0,,1.0,543,2025-04-23,8,44,0.2666666666666666,
0.0,0.0,0.16666666666666663,0.13636363636363635,0.6745863636363637,-0.11194029850746273,0.8840909090909093,0.0,0.0,,1.0,544,2025-04-23,8,123,0.16666666666666663,
0.0,0.0,0.16666666666666663,0.13636363636363635,0.6745863636363637,-0.11194029850746273,0.8840909090909093,0.0,0.0,,1.0,545,2025-04-23,8,102,0.16666666666666663,
0.0,0.0,-0.16666666666666669,0.0,0.6700666666666667,-0.13492063492063489,0.7472222222222222,0.2,2.0,,1.0,2071,2025-04-23,37,139,-0.09999999999999998,
0.0,0.0,0.16666666666666663,0.11904761904761907,0.6620428571428572,-0.13636363636363635,0.6857142857142857,0.3,3.0,,1.0,2769,2025-04-23,70,140,0.20588235294117652,
0.0,0.0,0.2142857142857143,0.038461538461538436,0.6500999999999999,-0.10112359550561795,0.5119230769230769,0.2,2.0,,1.0,2698,2025-04-23,68,177,0.125,
0.0,0.0,0.2142857142857143,0.038461538461538436,0.6500999999999999,-0.10112359550561795,0.5119230769230769,0.2,2.0,,1.0,2697,2025-04-23,68,186,0.125,
0.0,0.0,0.2142857142857143,0.038461538461538436,0.6500999999999999,-0.10112359550561795,0.5119230769230769,0.2,2.0,,0.0,2696,2025-04-23,68,100,0.125,
0.0,0.0,0.0,0.0,0.6086222222222222,-0.11146496815286622,0.507222222222222,0.1,1.0,,0.0,1883,2025-04-23,34,166,-0.125,
-0.2,-1.0,0.5,-0.24999999999999994,-0.035504210526315805,0.001282051282051222,-0.1561052631578943,0.19999999999999998,2.0,,0.0,738,2025-04-23,11,26,0.5,
-0.2,-1.0,0.0,-0.12894736842105264,-0.023267368421052814,0.0678294573643411,-0.26242105263157844,0.09999999999999998,1.0,,1.0,739,2025-04-23,11,23,0.0,
0.1,1.0,0.25,0.09999999999999998,0.6186066666666665,-0.17676767676767674,0.4973333333333333,0.0,0.0,,1.0,1641,2025-04-23,28,100,0.25,
0.0,0.0,-0.25,0.033333333333333326,0.003438333333333321,0.17803030303030298,0.004333333333333522,0.3,3.0,,1.0,740,2025-04-23,11,46,-0.25,
0.0,0.0,-0.5,0.050000000000000044,0.69927,-0.09259259259259256,0.8644999999999998,0.1,1.0,,1.0,2374,2025-04-23,44,114,-0.09999999999999998,
0.0,0.0,0.25,0.09999999999999998,0.6186066666666665,-0.17676767676767674,0.4973333333333333,0.0,0.0,,1.0,1640,2025-04-23,28,76,0.25,
0.0,0.0,0.16666666666666663,0.16666666666666663,0.6286899999999999,-0.044303797468354444,0.5963333333333334,0.0,0.0,,0.0,2823,2025-04-23,101,115,0.20833333333333337,
0.0,0.0,0.0,-0.13823529411764707,0.049129999999999785,0.03947368421052627,-0.02149999999999963,0.3,3.0,,1.0,741,2025-04-23,11,66,-0.16666666666666663,
0.0,0.0,0.0,0.1428571428571429,0.7213785714285714,-0.1063829787234043,0.8921428571428571,0.0,0.0,,1.0,332,2025-04-23,5,65,0.0,
0.0,0.0,-0.5,0.16666666666666663,0.69028,-0.09292035398230086,0.8326666666666667,0.0,0.0,,0.0,176,2025-04-23,3,64,-0.5,
0.0,0.0,-0.09999999999999998,-0.0071428571428571175,0.05370798319327741,0.06028368794326233,0.13508403361344512,-0.3,-3.0,,0.0,331,2025-04-23,5,10,-0.09999999999999998,
0.0,0.0,0.0,0.2222222222222222,0.6753187499999999,-0.028301886792452824,0.7193749999999999,0.0,0.0,,0.0,2208,2025-04-23,41,76,0.0,
-0.2,-1.0,0.16666666666666674,0.00462962962962965,0.023406944444444577,-0.07543235946646709,-0.03745370370370327,0.09999999999999998,1.0,,0.0,248,2025-04-23,4,22,0.03977272727272729,
0.0,0.0,0.08333333333333337,0.00462962962962965,0.0602625,-0.04262922140017117,0.1781018518518518,0.2,2.0,,1.0,249,2025-04-23,4,17,-0.022727272727272707,
0.0,0.0,0.33333333333333337,0.20833333333333337,0.6837958333333333,-0.09217877094972066,0.8095833333333333,0.5,5.0,,1.0,250,2025-04-23,4,51,0.2272727272727273,
