match_key,date,time,tournament,round,first_player,second_player,winner_is_first,has_stats,has_enough_stats,has_odds,num_stats_values,odds_implied_prob_diff,odds_p1_implied_prob,odds_p1_moneyline,odds_p2_implied_prob,odds_p2_moneyline
12084552,2025-11-01,12:30:00,Metz,Metz - Semi-finals,Billy Harris,Luca van Assche,0,0,0,1,0,-0.19249823071479122,0.4444444444444444,2.25,0.6369426751592356,1.57
12084547,2025-11-01,12:40:00,Athens,Athens - Semi-finals,Henry Bernet,Agustin Tirante Thiago,1,0,0,1,0,-0.23165384297178793,0.42194092827004215,2.37,0.6535947712418301,1.53
12084553,2025-11-01,13:10:00,Metz,Metz - Semi-finals,Alexander Shevchenko,Vitaliy Sachko,0,0,0,1,0,0.31276505513146735,0.6944444444444444,1.44,0.38167938931297707,2.62
12084555,2025-11-01,14:35:00,Metz,Metz - Semi-finals,Clement Tabur,Nicolai Budkov Kjaer,1,0,0,1,0,-0.2666666666666666,0.4,2.5,0.6666666666666666,1.5
12084479,2025-11-01,14:40:00,Paris,Paris - Semi-finals,Felix Auger-Aliassime,Alexander Bublik,1,0,0,1,0,0.0,0.5263157894736842,1.9,0.5263157894736842,1.9
12084645,2025-11-01,14:40:00,Athens,Athens - Semi-finals,Jan-Lennard Struff,Mark Lajal,1,0,0,1,0,0.19249823071479122,0.6369426751592356,1.57,0.4444444444444444,2.25
12084554,2025-11-01,15:15:00,Metz,Metz - Semi-finals,Tom Paris,Moez Echargui,0,0,0,1,0,-0.19249823071479122,0.4444444444444444,2.25,0.6369426751592356,1.57
12084556,2025-11-01,16:25:00,Metz,Metz - Semi-finals,Arthur Bouquier,Francesco Passaro,0,0,0,1,0,-0.16657255787690567,0.45454545454545453,2.2,0.6211180124223602,1.61
12084549,2025-11-01,16:35:00,Athens,Athens - Semi-finals,Hsin Tseng Chun,Eliot Spizzirri,0,0,0,1,0,-0.6252354048964219,0.2222222222222222,4.5,0.8474576271186441,1.18
12084548,2025-11-01,17:00:00,Athens,Athens - Semi-finals,Vit Kopriva,Jaime Faria,1,0,0,1,0,0.0292397660818714,0.5555555555555556,1.8,0.5263157894736842,1.9
12084575,2025-11-01,17:10:00,Paris,Paris - Semi-finals,Alexander Zverev,Jannik Sinner,0,0,0,1,0,-0.7261904761904762,0.16666666666666666,6.0,0.8928571428571428,1.12
12084557,2025-11-01,17:55:00,Metz,Metz - Semi-finals,Tristan Schoolkate,Dan Added,0,0,0,1,0,0.16657255787690567,0.6211180124223602,1.61,0.45454545454545453,2.2
12084246,2025-10-31,14:15:00,Paris,Paris - Quarter-finals,Valentin Vacherot,Felix Auger-Aliassime,0,0,0,1,0,-0.2150017468891935,0.42194092827004215,2.37,0.6369426751592356,1.57
12084247,2025-10-31,15:50:00,Paris,Paris - Quarter-finals,Alexander Bublik,Alex De Minaur,1,0,0,1,0,-0.10520487264673317,0.47619047619047616,2.1,0.5813953488372093,1.72
12084365,2025-10-31,19:10:00,Paris,Paris - Quarter-finals,Ben Shelton,Jannik Sinner,0,0,0,1,0,-0.6620689655172414,0.2,5.0,0.8620689655172414,1.16
12084391,2025-10-31,20:40:00,Paris,Paris - Quarter-finals,Daniil Medvedev,Alexander Zverev,0,0,0,1,0,0.10520487264673317,0.5813953488372093,1.72,0.47619047619047616,2.1
12083829,2025-10-30,11:10:00,Paris,Paris - 1/8-finals,Cameron Norrie,Valentin Vacherot,0,0,0,1,0,-0.10520487264673317,0.47619047619047616,2.1,0.5813953488372093,1.72
12083883,2025-10-30,13:10:00,Paris,Paris - 1/8-finals,Felix Auger-Aliassime,Daniel Altmaier,1,0,0,1,0,0.3308080808080808,0.6944444444444444,1.44,0.36363636363636365,2.75
12083680,2025-10-30,14:40:00,Paris,Paris - 1/8-finals,Ben Shelton,Andrey Rublev,1,0,0,1,0,0.1478641840087624,0.6024096385542169,1.66,0.45454545454545453,2.2
12084089,2025-10-30,16:10:00,Paris,Paris - 1/8-finals,Taylor Fritz,Alexander Bublik,0,0,0,1,0,0.10520487264673317,0.5813953488372093,1.72,0.47619047619047616,2.1
12084118,2025-10-30,16:40:00,Paris,Paris - 1/8-finals,Karen Khachanov,Alex De Minaur,0,0,0,1,0,-0.1478641840087624,0.45454545454545453,2.2,0.6024096385542169,1.66
12083884,2025-10-30,18:10:00,Paris,Paris - 1/8-finals,Lorenzo Sonego,Daniil Medvedev,0,0,0,1,0,-0.588725248930451,0.23094688221709006,4.33,0.819672131147541,1.22
12083885,2025-10-30,19:10:00,Paris,Paris - 1/8-finals,Francisco Cerundolo,Jannik Sinner,0,0,0,1,0,-0.8846153846153846,0.07692307692307693,13.0,0.9615384615384615,1.04
12083886,2025-10-30,21:00:00,Paris,Paris - 1/8-finals,Alejandro Davidovich Fokina,Alexander Zverev,0,0,0,1,0,-0.3308080808080808,0.36363636363636365,2.75,0.6944444444444444,1.44
12082794,2025-10-29,11:10:00,Paris,Paris - 1/16-finals,Daniel Altmaier,Casper Ruud,1,0,0,1,0,-0.42279411764705876,0.3125,3.2,0.7352941176470588,1.36
12083360,2025-10-29,11:15:00,Paris,Paris - 1/16-finals,Arthur Rinderknech,Valentin Vacherot,0,0,0,1,0,-0.18633540372670798,0.4347826086956522,2.3,0.6211180124223602,1.61
12082854,2025-10-29,12:45:00,Paris,Paris - 1/16-finals,Francisco Cerundolo,Miomir Kecmanovic,1,0,0,1,0,0.380952380952381,0.7142857142857143,1.4,0.3333333333333333,3.0
12083358,2025-10-29,12:55:00,Paris,Paris - 1/16-finals,Felix Auger-Aliassime,Alexandre Muller,1,0,0,1,0,0.55,0.8,1.25,0.25,4.0
12083414,2025-10-29,14:15:00,Paris,Paris - 1/16-finals,Grigor Dimitrov,Daniil Medvedev,0,0,0,1,0,-0.48351648351648346,0.2857142857142857,3.5,0.7692307692307692,1.3
12083361,2025-10-29,14:30:00,Paris,Paris - 1/16-finals,Camilo Ugo Carabelli,Alexander Zverev,0,0,0,1,0,-0.9042071197411004,0.06666666666666667,15.0,0.970873786407767,1.03
12083413,2025-10-29,16:15:00,Paris,Paris - 1/16-finals,Alejandro Davidovich Fokina,Arthur Cazaux,1,0,0,1,0,0.3308080808080808,0.6944444444444444,1.44,0.36363636363636365,2.75
12082853,2025-10-29,17:30:00,Paris,Paris - 1/16-finals,Zizou Bergs,Jannik Sinner,0,0,0,1,0,-0.9277605779153766,0.05263157894736842,19.0,0.9803921568627451,1.02
12082855,2025-10-29,18:40:00,Paris,Paris - 1/16-finals,Lorenzo Musetti,Lorenzo Sonego,0,0,0,1,0,0.48351648351648346,0.7692307692307692,1.3,0.2857142857142857,3.5
12083416,2025-10-29,19:35:00,Paris,Paris - 1/16-finals,Corentin Moutet,Alexander Bublik,0,0,0,1,0,-0.18633540372670798,0.4347826086956522,2.3,0.6211180124223602,1.61
12083359,2025-10-29,20:55:00,Paris,Paris - 1/16-finals,Gabriel Diallo,Alex De Minaur,0,0,0,1,0,-0.48351648351648346,0.2857142857142857,3.5,0.7692307692307692,1.3
12083415,2025-10-29,21:35:00,Paris,Paris - 1/16-finals,Karen Khachanov,Joao Fonseca,1,0,0,1,0,0.10520487264673317,0.5813953488372093,1.72,0.47619047619047616,2.1
12082284,2025-10-28,11:00:00,Paris,ATP Paris - 1/32-finals,Alejandro Davidovich Fokina,Ugo Humbert,0,0,0,1,0,-0.059044517248851514,0.49535603715170284,2.01875,0.5544005544005544,1.8037500000000002
12082285,2025-10-28,11:10:00,Paris,Paris - 1/32-finals,Tallon Griekspoor,Gabriel Diallo,0,0,0,1,0,0.10520487264673317,0.5813953488372093,1.72,0.47619047619047616,2.1
12082296,2025-10-28,11:10:00,Paris,Paris - 1/32-finals,Valentin Vacherot,Jiri Lehecka,1,0,0,1,0,-0.3308080808080808,0.36363636363636365,2.75,0.6944444444444444,1.44
12082699,2025-10-28,11:10:00,Paris,Paris - 1/32-finals,Felix Auger-Aliassime,Francisco Comesana,1,0,0,1,0,0.6111111111111112,0.8333333333333334,1.2,0.2222222222222222,4.5
12082700,2025-10-28,11:10:00,Paris,Paris - 1/32-finals,Martin Etcheverry Tomas,Camilo Ugo Carabelli,0,0,0,1,0,0.6953748006379585,0.8771929824561404,1.14,0.18181818181818182,5.5
