Player,Match,first_serve_pctg,second_serve_pctg,double_faults,win
Alejandro Davidovich Fokina,20200217-M-Rio_de_Janeiro-R32-Alejandro_Davidovich_Fokina-Thiago_Seyboth_Wild,68.6,100.0,0,False
Thiago Seyboth Wild,20200217-M-Rio_de_Janeiro-R32-Alejandro_Davidovich_Fokina-Thiago_Seyboth_Wild,56.1,98.3,1,True
Leo Borg,20200218-M-Bergamo_CH-R64-Leo_Borg-Chun_Hsin_Tseng,56.5,90.0,2,False
Chun Hsin Tseng,20200218-M-Bergamo_CH-R64-Leo_Borg-Chun_Hsin_Tseng,55.0,83.3,3,True
Carlos Alcaraz,20200218-M-Rio_de_Janeiro-R32-Carlos_Alcaraz-Albert_Ramos,68.0,89.8,5,True
Albert Ramos,20200218-M-Rio_de_Janeiro-R32-Carlos_Alcaraz-Albert_Ramos,58.0,89.7,6,False
Carlos Alcaraz,20200219-M-Rio_de_Janeiro-R16-Carlos_Alcaraz-Federico_Coria,59.3,87.9,4,False
Federico Coria,20200219-M-Rio_de_Janeiro-R16-Carlos_Alcaraz-Federico_Coria,79.3,91.3,2,True
Jannik Sinner,20200220-M-Marseille-R16-Jannik_Sinner-Daniil_Medvedev,61.2,96.2,1,False
Daniil Medvedev,20200220-M-Marseille-R16-Jannik_Sinner-Daniil_Medvedev,51.7,96.4,1,True
Pierre Hugues Herbert,20200220-M-Marseille-R16-Pierre_Hugues_Herbert-Felix_Auger_Aliassime,62.2,91.1,4,False
Felix Auger Aliassime,20200220-M-Marseille-R16-Pierre_Hugues_Herbert-Felix_Auger_Aliassime,71.0,92.6,2,True
Gilles Simon,20200221-M-Marseille-QF-Gilles_Simon-Daniil_Medvedev,62.2,92.9,1,True
Daniil Medvedev,20200221-M-Marseille-QF-Gilles_Simon-Daniil_Medvedev,56.6,100.0,0,False
Nicola Kuhn,20200222-M-Koblenz_CH-SF-Nicola_Kuhn-Botic_Van_De_Zandschulp,62.3,93.1,2,False
Botic Van De Zandschulp,20200222-M-Koblenz_CH-SF-Nicola_Kuhn-Botic_Van_De_Zandschulp,69.8,76.9,6,True
Tomas Machac,20200223-M-Koblenz_CH-F-Tomas_Machac-Botic_Van_De_Zandschulp,55.7,94.3,2,True
Botic Van De Zandschulp,20200223-M-Koblenz_CH-F-Tomas_Machac-Botic_Van_De_Zandschulp,62.2,83.8,6,False
Alex De Minaur,20200224-M-Acapulco-R32-Alex_De_Minaur-Miomir_Kecmanovic,50.6,95.0,2,False
Miomir Kecmanovic,20200224-M-Acapulco-R32-Alex_De_Minaur-Miomir_Kecmanovic,69.9,89.3,3,True
Antoine Escoffier,20200225-M-Columbus_CH-R32-Antoine_Escoffier-Aleksandar_Vukic,69.1,85.7,3,False
Aleksandar Vukic,20200225-M-Columbus_CH-R32-Antoine_Escoffier-Aleksandar_Vukic,58.7,84.6,4,True
Hubert Hurkacz,20200225-M-Dubai-R32-Hubert_Hurkacz-Alexander_Bublik,52.2,90.6,3,False
Alexander Bublik,20200225-M-Dubai-R32-Hubert_Hurkacz-Alexander_Bublik,55.9,73.1,7,True
Marin Cilic,20200225-M-Dubai-R32-Marin_Cilic-Benoit_Paire,54.9,78.2,12,False
Benoit Paire,20200225-M-Dubai-R32-Marin_Cilic-Benoit_Paire,53.4,78.2,12,True
Ernests Gulbis,20200226-M-Pau_CH-R32-Ernests_Gulbis-Norbert_Gombos,58.2,93.9,2,True
Norbert Gombos,20200226-M-Pau_CH-R32-Ernests_Gulbis-Norbert_Gombos,70.8,100.0,0,False
Emilio Gomez,20200227-M-Columbus_CH-R16-Emilio_Gomez-Aleksandar_Vukic,49.1,92.9,4,False
Aleksandar Vukic,20200227-M-Columbus_CH-R16-Emilio_Gomez-Aleksandar_Vukic,58.0,93.6,3,True
Andrey Rublev,20200227-M-Dubai-QF-Andrey_Rublev-Daniel_Evans,52.7,100.0,0,False
Daniel Evans,20200227-M-Dubai-QF-Andrey_Rublev-Daniel_Evans,65.7,82.4,6,True
Rafael Nadal,20200228-M-Acapulco-SF-Rafael_Nadal-Grigor_Dimitrov,63.1,87.5,3,True
Grigor Dimitrov,20200228-M-Acapulco-SF-Rafael_Nadal-Grigor_Dimitrov,71.7,92.3,1,False
Denis Istomin,20200228-M-Columbus_CH-QF-Denis_Istomin-Aleksandar_Vukic,75.5,75.0,3,True
Aleksandar Vukic,20200228-M-Columbus_CH-QF-Denis_Istomin-Aleksandar_Vukic,61.0,95.7,1,False
