match,tournament,round,date,completed,log_reg_prob,rf_prob,ens_prob,log_reg_ml_p1,log_reg_ml_p2,rf_ml_p1,rf_ml_p2,ens_ml_p1,ens_ml_p2,log_reg_dec_p1,log_reg_dec_p2,rf_dec_p1,rf_dec_p2,ens_dec_p1,ens_dec_p2
17923,M25 Nevers,R16,2025-09-15,True,0.7537450116856648,0.4644865172278373,0.49341236667362004,-306,306,115,-115,103,-103,1.3267,4.0608,2.1529,1.8674,2.0267,1.974
17924,M25 Nevers,R32,2025-09-15,True,0.7537450116856648,0.4644865172278373,0.49341236667362004,-306,306,115,-115,103,-103,1.3267,4.0608,2.1529,1.8674,2.0267,1.974
18618,Cordoba CH,R32,2025-03-03,True,0.5737155584531914,0.35,0.37237155584531917,-135,135,186,-186,169,-169,1.743,2.3459,2.8571,1.5385,2.6855,1.5933
20477,Orleans CH,Q1,2025-09-22,True,0.7569614521079875,0.9340045469308217,0.9163002374485383,-311,311,-1415,1415,-1095,1095,1.3211,4.1146,1.0707,15.1526,1.0913,11.9475
22202,Lille CH,Q1,2025-02-03,True,0.6127348504440674,0.66,0.6552734850444069,-158,158,-194,194,-190,190,1.632,2.5822,1.5152,2.9412,1.5261,2.9009
22225,Tulln CH,Q1,2025-09-01,True,0.8027667826195544,0.24590934131609488,0.30159508544644087,-407,407,307,-307,232,-232,1.2457,5.0701,4.0665,1.3261,3.3157,1.4318
22227,Como CH,Q2,2025-08-25,True,0.6804515163551309,0.49,0.5090451516355131,-213,213,104,-104,-104,104,1.4696,3.1294,2.0408,1.9608,1.9645,2.0368
22228,Como CH,Q1,2025-08-25,True,0.7845658442907324,0.8777915612394377,0.8684689895445672,-364,364,-718,718,-660,660,1.2746,4.6418,1.1392,8.1827,1.1515,7.6028
22243,Royan CH,R32,2025-06-16,True,0.7787923802122853,0.5477147773420438,0.5708225376290679,-352,352,-121,121,-133,133,1.284,4.5206,1.8258,2.211,1.7519,2.33
22609,M25 Grasse,QF,2025-06-02,True,0.7755759397899625,0.3047106017191977,0.35179713552627423,-346,346,228,-228,184,-184,1.2894,4.4559,3.2818,1.4383,2.8425,1.5427
22610,M25 Grasse,R16,2025-06-02,True,0.7334813503985722,0.8347106017191978,0.8245876765871353,-275,275,-505,505,-470,470,1.3634,3.7521,1.198,6.05,1.2127,5.7009
22611,M25 Grasse,R32,2025-06-02,True,0.823943159158952,0.86,0.8563943159158952,-468,468,-614,614,-596,596,1.2137,5.68,1.1628,7.1429,1.1677,6.9635
22612,M25 Carnac,F,2025-05-26,True,0.7486860852279426,0.8961619190404798,0.8814143356592261,-298,298,-863,863,-743,743,1.3357,3.9791,1.1159,9.6304,1.1345,8.4327
22613,M25 Carnac,SF,2025-05-26,True,0.5966555704407368,0.83,0.8066655570440737,-148,148,-488,488,-417,417,1.676,2.4793,1.2048,5.8824,1.2397,5.1724
22614,M25 Carnac,QF,2025-05-26,True,0.7486860852279426,0.8961619190404798,0.8814143356592261,-298,298,-863,863,-743,743,1.3357,3.9791,1.1159,9.6304,1.1345,8.4327
22615,M25 Carnac,R16,2025-05-26,True,0.7486860852279426,0.8961619190404798,0.8814143356592261,-298,298,-863,863,-743,743,1.3357,3.9791,1.1159,9.6304,1.1345,8.4327
22616,M25 Carnac,R32,2025-05-26,True,0.7486860852279426,0.8961619190404798,0.8814143356592261,-298,298,-863,863,-743,743,1.3357,3.9791,1.1159,9.6304,1.1345,8.4327
22751,Curitiba CH,QF,2025-10-13,True,0.7622379364954928,0.4268372303439583,0.4603773009591118,-321,321,134,-134,117,-117,1.3119,4.2059,2.3428,1.7447,2.1721,1.8531
22753,Curitiba CH,R32,2025-10-13,True,0.7622379364954928,0.4268372303439583,0.4603773009591118,-321,321,134,-134,117,-117,1.3119,4.2059,2.3428,1.7447,2.1721,1.8531
22754,Curitiba CH,Q2,2025-10-13,True,0.7622379364954928,0.4268372303439583,0.4603773009591118,-321,321,134,-134,117,-117,1.3119,4.2059,2.3428,1.7447,2.1721,1.8531
22755,Curitiba CH,Q1,2025-10-13,True,0.7622379364954928,0.4268372303439583,0.4603773009591118,-321,321,134,-134,117,-117,1.3119,4.2059,2.3428,1.7447,2.1721,1.8531
24361,Hersonissos 4 CH,R16,2025-08-18,True,0.5528544480990865,0.56,0.5592854448099087,-124,124,-127,127,-127,127,1.8088,2.2364,1.7857,2.2727,1.788,2.269
27405,Noumea CH,R32,2026-01-05,True,0.7537450116856648,0.98,0.9573745011685665,-306,306,-4900,4900,-2246,2246,1.3267,4.0608,1.0204,50.0,1.0445,23.4601
6647,Tenerife 2 CH,R32,2025-02-10,True,0.7486860852279426,0.31619441367962664,0.35944358083445827,-298,298,216,-216,178,-178,1.3357,3.9791,3.1626,1.4624,2.7821,1.5611
10110,Kobe CH,Q1,2024-11-11,True,0.6341434385302807,0.5155194927909905,0.5273818873649195,-173,173,-106,106,-112,112,1.5769,2.7333,1.9398,2.0641,1.8962,2.1159
12160,M25 Nottingham,R32,2025-05-05,True,0.8550921878339259,0.24653160304839578,0.3073876615269488,-590,590,306,-306,225,-225,1.1695,6.9009,4.0563,1.3272,3.2532,1.4438
14459,M25 Loule,QF,2025-03-17,True,0.8589300820184633,0.94,0.9318930082018463,-609,609,-1567,1567,-1368,1368,1.1642,7.0887,1.0638,16.6667,1.0731,14.6828
14460,M25 Loule,R16,2025-03-17,True,0.7535316512206188,0.92,0.903353165122062,-306,306,-1150,1150,-935,935,1.3271,4.0573,1.087,12.5,1.107,10.347
14461,M25 Loule,R32,2025-03-17,True,0.8589300820184633,0.94,0.9318930082018463,-609,609,-1567,1567,-1368,1368,1.1642,7.0887,1.0638,16.6667,1.0731,14.6828
17975,Milan CH,Q1,2025-06-23,True,0.7573577482623118,0.15879988345344953,0.21865566993433577,-312,312,530,-530,357,-357,1.3204,4.1213,6.2972,1.1888,4.5734,1.2798
19753,Sassuolo CH,Q2,2025-06-16,True,0.7755759397899625,0.7742491315602716,0.7743818123832407,-346,346,-343,343,-343,343,1.2894,4.4559,1.2916,4.4297,1.2914,4.4323
